Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
46,Exit long,2025-10-29 10:08,Time Exit,26277.75,1,26309.75,-640,-0.12,335,0.06,-645,-0.12,12890,12.89
46,Entry long,2025-10-29 09:59,long,26309.75,1,26309.75,-640,-0.12,335,0.06,-645,-0.12,12890,12.89
47,Exit short,2025-10-29 11:01,Time Exit,26269.75,1,26274,85,0.02,375,0.07,-165,-0.03,12975,12.98
47,Entry short,2025-10-29 10:52,short,26274,1,26274,85,0.02,375,0.07,-165,-0.03,12975,12.98
48,Exit short,2025-10-29 11:27,Time Exit,26266.5,1,26255.75,-215,-0.04,35,0.01,-420,-0.08,12760,12.76
48,Entry short,2025-10-29 11:18,short,26255.75,1,26255.75,-215,-0.04,35,0.01,-420,-0.08,12760,12.76
49,Exit short,2025-10-29 11:49,Time Exit,26231.25,1,26244.75,270,0.05,525,0.10,-70,-0.01,13030,13.03
49,Entry short,2025-10-29 11:40,short,26244.75,1,26244.75,270,0.05,525,0.10,-70,-0.01,13030,13.03
50,Exit short,2025-10-29 12:18,Time Exit,26227.5,1,26227.75,5,0.00,490,0.09,-90,-0.02,13035,13.04
50,Entry short,2025-10-29 12:09,short,26227.75,1,26227.75,5,0.00,490,0.09,-90,-0.02,13035,13.04
51,Exit long,2025-10-30 10:08,Time Exit,26126.75,1,26136.75,-200,-0.04,915,0.18,-875,-0.17,12835,12.84
51,Entry long,2025-10-30 09:59,long,26136.75,1,26136.75,-200,-0.04,915,0.18,-875,-0.17,12835,12.84
52,Exit short,2025-10-30 11:49,Time Exit,25984.25,1,26000,315,0.06,695,0.13,-215,-0.04,13150,13.15
52,Entry short,2025-10-30 11:40,short,26000,1,26000,315,0.06,695,0.13,-215,-0.04,13150,13.15
53,Exit short,2025-10-30 12:27,Time Exit,26087.5,1,26087,-10,0.00,440,0.08,-200,-0.04,13140,13.14
53,Entry short,2025-10-30 12:18,short,26087,1,26087,-10,0.00,440,0.08,-200,-0.04,13140,13.14
54,Exit short,2025-10-31 10:16,Time Exit,26095.25,1,26103,155,0.03,540,0.10,-295,-0.06,13295,13.30
54,Entry short,2025-10-31 10:07,short,26103,1,26103,155,0.03,540,0.10,-295,-0.06,13295,13.30
55,Exit short,2025-10-31 11:42,Time Exit,26083.75,1,26149.5,1315,0.25,1320,0.25,-35,-0.01,14610,14.61
55,Entry short,2025-10-31 11:33,short,26149.5,1,26149.5,1315,0.25,1320,0.25,-35,-0.01,14610,14.61
56,Exit short,2025-10-31 12:59,Time Exit,25936.75,1,25993.25,1130,0.22,1270,0.24,-5,0.00,15740,15.74
56,Entry short,2025-10-31 12:50,short,25993.25,1,25993.25,1130,0.22,1270,0.24,-5,0.00,15740,15.74
57,Exit short,2025-11-03 09:57,Time Exit,26143.75,1,26174.25,610,0.12,1110,0.21,-65,-0.01,16350,16.35
57,Entry short,2025-11-03 09:48,short,26174.25,1,26174.25,610,0.12,1110,0.21,-65,-0.01,16350,16.35
58,Exit short,2025-11-03 10:33,Time Exit,26030.75,1,26103,1445,0.28,1720,0.33,-20,0.00,17795,17.79
58,Entry short,2025-11-03 10:24,short,26103,1,26103,1445,0.28,1720,0.33,-20,0.00,17795,17.79
59,Exit long,2025-11-03 12:26,long_exit,26095.5,1,26128.5,-660,-0.13,260,0.05,-660,-0.13,17135,17.14
59,Entry long,2025-11-03 12:21,long,26128.5,1,26128.5,-660,-0.13,260,0.05,-660,-0.13,17135,17.14
60,Exit long,2025-11-04 10:03,Time Exit,25873.25,1,25835.5,755,0.15,1005,0.19,-130,-0.03,17890,17.89
60,Entry long,2025-11-04 09:54,long,25835.5,1,25835.5,755,0.15,1005,0.19,-130,-0.03,17890,17.89
61,Exit long,2025-11-04 10:38,Time Exit,25856.75,1,25866,-185,-0.04,150,0.03,-460,-0.09,17705,17.71
61,Entry long,2025-11-04 10:29,long,25866,1,25866,-185,-0.04,150,0.03,-460,-0.09,17705,17.71
62,Exit short,2025-11-04 12:04,Time Exit,25733.5,1,25764.25,615,0.12,820,0.16,-70,-0.01,18320,18.32
62,Entry short,2025-11-04 11:55,short,25764.25,1,25764.25,615,0.12,820,0.16,-70,-0.01,18320,18.32
63,Exit short,2025-11-04 12:55,Time Exit,25683,1,25692.5,190,0.04,235,0.05,-715,-0.14,18510,18.51
63,Entry short,2025-11-04 12:46,short,25692.5,1,25692.5,190,0.04,235,0.05,-715,-0.14,18510,18.51
64,Exit long,2025-11-05 10:03,Time Exit,25660,1,25658.5,30,0.01,805,0.16,-170,-0.03,18540,18.54
64,Entry long,2025-11-05 09:54,long,25658.5,1,25658.5,30,0.01,805,0.16,-170,-0.03,18540,18.54
65,Exit long,2025-11-05 10:29,Time Exit,25713.5,1,25650,1270,0.25,1370,0.27,-700,-0.14,19810,19.81
65,Entry long,2025-11-05 10:20,long,25650,1,25650,1270,0.25,1370,0.27,-700,-0.14,19810,19.81
66,Exit long,2025-11-05 11:45,Time Exit,25766.25,1,25733.75,650,0.13,685,0.13,-70,-0.01,20460,20.46
66,Entry long,2025-11-05 11:36,long,25733.75,1,25733.75,650,0.13,685,0.13,-70,-0.01,20460,20.46
67,Exit short,2025-11-06 10:15,Time Exit,25423,1,25451,560,0.11,620,0.12,-780,-0.15,21020,21.02
67,Entry short,2025-11-06 10:06,short,25451,1,25451,560,0.11,620,0.12,-780,-0.15,21020,21.02
68,Exit short,2025-11-06 10:55,Time Exit,25339,1,25363.25,485,0.10,1200,0.24,0,0.00,21505,21.51
68,Entry short,2025-11-06 10:46,short,25363.25,1,25363.25,485,0.10,1200,0.24,0,0.00,21505,21.51
69,Exit short,2025-11-06 11:23,Time Exit,25293.5,1,25332.25,775,0.15,880,0.17,-585,-0.12,22280,22.28
69,Entry short,2025-11-06 11:14,short,25332.25,1,25332.25,775,0.15,880,0.17,-585,-0.12,22280,22.28
70,Exit short,2025-11-06 11:58,Time Exit,25230.75,1,25233.5,55,0.01,645,0.13,-1025,-0.20,22335,22.34
70,Entry short,2025-11-06 11:49,short,25233.5,1,25233.5,55,0.01,645,0.13,-1025,-0.20,22335,22.34
71,Exit short,2025-11-07 10:15,Time Exit,25014,1,24944,-1400,-0.28,1240,0.25,-1570,-0.31,20935,20.94
71,Entry short,2025-11-07 10:06,short,24944,1,24944,-1400,-0.28,1240,0.25,-1570,-0.31,20935,20.94
72,Exit short,2025-11-07 11:28,Time Exit,24801.25,1,24803,35,0.01,200,0.04,-830,-0.17,20970,20.97
72,Entry short,2025-11-07 11:19,short,24803,1,24803,35,0.01,200,0.04,-830,-0.17,20970,20.97
73,Exit long,2025-11-07 12:32,Time Exit,24837.5,1,24833.25,85,0.02,625,0.13,-300,-0.06,21055,21.06
73,Entry long,2025-11-07 12:23,long,24833.25,1,24833.25,85,0.02,625,0.13,-300,-0.06,21055,21.06
74,Exit long,2025-11-10 10:22,Time Exit,25650.25,1,25649.75,10,0.00,35,0.01,-770,-0.15,21065,21.07
74,Entry long,2025-11-10 10:13,long,25649.75,1,25649.75,10,0.00,35,0.01,-770,-0.15,21065,21.07
75,Exit short,2025-11-10 11:33,Time Exit,25503.25,1,25503.75,10,0.00,435,0.09,-255,-0.05,21075,21.08
75,Entry short,2025-11-10 11:24,short,25503.75,1,25503.75,10,0.00,435,0.09,-255,-0.05,21075,21.08
76,Exit short,2025-11-10 11:57,Time Exit,25502,1,25478.25,-475,-0.09,285,0.06,-525,-0.10,20600,20.60
76,Entry short,2025-11-10 11:48,short,25478.25,1,25478.25,-475,-0.09,285,0.06,-525,-0.10,20600,20.60
77,Exit short,2025-11-11 10:21,Time Exit,25556.25,1,25583,535,0.10,1005,0.20,-200,-0.04,21135,21.14
77,Entry short,2025-11-11 10:12,short,25583,1,25583,535,0.10,1005,0.20,-200,-0.04,21135,21.14
78,Exit short,2025-11-11 10:49,Time Exit,25509.5,1,25522.75,265,0.05,385,0.08,-570,-0.11,21400,21.40
78,Entry short,2025-11-11 10:40,short,25522.75,1,25522.75,265,0.05,385,0.08,-570,-0.11,21400,21.40
79,Exit short,2025-11-11 11:50,Time Exit,25530.5,1,25504.5,-520,-0.10,10,0.00,-615,-0.12,20880,20.88
79,Entry short,2025-11-11 11:41,short,25504.5,1,25504.5,-520,-0.10,10,0.00,-615,-0.12,20880,20.88
80,Exit long,2025-11-11 13:08,Time Exit,25634.5,1,25621.5,260,0.05,420,0.08,-235,-0.05,21140,21.14
80,Entry long,2025-11-11 12:59,long,25621.5,1,25621.5,260,0.05,420,0.08,-235,-0.05,21140,21.14
81,Exit short,2025-11-12 10:33,Time Exit,25600,1,25604,80,0.02,280,0.05,-485,-0.09,21220,21.22
81,Entry short,2025-11-12 10:24,short,25604,1,25604,80,0.02,280,0.05,-485,-0.09,21220,21.22
82,Exit short,2025-11-12 11:25,Time Exit,25534.5,1,25536,30,0.01,195,0.04,-320,-0.06,21250,21.25
82,Entry short,2025-11-12 11:16,short,25536,1,25536,30,0.01,195,0.04,-320,-0.06,21250,21.25
83,Exit short,2025-11-13 10:45,Time Exit,25294.25,1,25326.75,650,0.13,785,0.15,-285,-0.06,21900,21.90
83,Entry short,2025-11-13 10:36,short,25326.75,1,25326.75,650,0.13,785,0.15,-285,-0.06,21900,21.90
84,Exit short,2025-11-13 11:23,Time Exit,25224.5,1,25216.5,-160,-0.03,690,0.14,-460,-0.09,21740,21.74
84,Entry short,2025-11-13 11:14,short,25216.5,1,25216.5,-160,-0.03,690,0.14,-460,-0.09,21740,21.74
85,Exit short,2025-11-13 12:59,Time Exit,25139.75,1,25172,645,0.13,925,0.18,-105,-0.02,22385,22.39
85,Entry short,2025-11-13 12:50,short,25172,1,25172,645,0.13,925,0.18,-105,-0.02,22385,22.39
86,Exit long,2025-11-14 10:00,Time Exit,24953,1,24868,1700,0.34,2045,0.41,-100,-0.02,24085,24.09
86,Entry long,2025-11-14 09:51,long,24868,1,24868,1700,0.34,2045,0.41,-100,-0.02,24085,24.09
87,Exit long,2025-11-14 10:29,Time Exit,25025,1,24932.5,1850,0.37,1920,0.39,-610,-0.12,25935,25.94
87,Entry long,2025-11-14 10:20,long,24932.5,1,24932.5,1850,0.37,1920,0.39,-610,-0.12,25935,25.94
88,Exit long,2025-11-14 11:28,Time Exit,25260.5,1,25156.75,2075,0.41,2160,0.43,-105,-0.02,28010,28.01
88,Entry long,2025-11-14 11:19,long,25156.75,1,25156.75,2075,0.41,2160,0.43,-105,-0.02,28010,28.01
89,Exit long,2025-11-14 12:10,Time Exit,25260.5,1,25229.5,620,0.12,705,0.14,-65,-0.01,28630,28.63
89,Entry long,2025-11-14 12:01,long,25229.5,1,25229.5,620,0.12,705,0.14,-65,-0.01,28630,28.63
